 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | light-tag Eigenvar. 4 | 0.000303003 / -0.000303008 | 0.000240725 / -0.000240742 | 0.000361849 / -0.000361839 | 0.00158494 / -0.00158496 | 0.000262522 / -0.00026251 | -0.000860921 / 0.000860941 | 0.0003503 / -0.000350285 | 0.00110099 / -0.00110101 | 0.00246417 / -0.00246417 | 0.0016273 / -0.00162729 |
 | light-tag Eigenvar. 5 | 0.000256264 / -0.000256269 | 0.000298254 / -0.000298271 | 0.000297151 / -0.000297142 | -0.002774 / 0.00277398 | 0.000255989 / -0.000255977 | -0.00121372 / 0.00121374 | -0.00133672 / 0.00133674 | -0.00284525 / 0.00284522 | 0.0016828 / -0.00168279 | -0.00173105 / 0.00173106 |
 | light-tag Eigenvar. 6 | 8.94915e-05 / -8.94969e-05 | 3.77211e-05 / -3.77383e-05 | 0.000102082 / -0.000102073 | 0.00343508 / -0.0034351 | 4.38906e-05 / -4.39448e-05 | -4.0607e-05 / 4.06271e-05 | 0.000157288 / -0.000157273 | 0.00287641 / -0.00287637 | 0.00106887 / -0.00106887 | 0.0025405 / -0.00254056 |
 | light-tag Eigenvar. 7 | 0.000180313 / -0.000180319 | 0.000161637 / -0.000161654 | 0.000218489 / -0.00021848 | -4.71882e-06 / 4.77057e-06 | 0.000165184 / -0.000165172 | -0.00071046 / 0.00071048 | 0.00296966 / -0.00296964 | -0.000172361 / 0.000172335 | 0.00277296 / -0.00277296 | 0.00157497 / -0.00157497 |
 | light-tag Eigenvar. 8 | 2.54026e-05 / -2.54081e-05 | 4.42318e-05 / -4.4249e-05 | 5.88485e-05 / -5.89002e-05 | -0.00101221 / 0.00101219 | 6.33582e-05 / -6.33465e-05 | -0.000147074 / 0.000147094 | 0.0014265 / -0.00142649 | -0.000865368 / 0.000865342 | 0.000550219 / -0.000550215 | -0.0003052 / 0.000305209 |
 | light-tag Eigenvar. 9 | 0.000263877 / -0.000263882 | 0.000157688 / -0.000157705 | 0.000284711 / -0.000284702 | 0.00189198 / -0.00189193 | 0.000153503 / -0.000153492 | -0.000369483 / 0.000369503 | 0.00172871 / -0.00172876 | 0.00167784 / -0.0016778 | 0.00260744 / -0.00260743 | 0.00160951 / -0.0016095 |
 | light-tag Eigenvar. 10 | 9.78124e-05 / -9.78178e-05 | 3.58e-05 / -3.58171e-05 | 6.04949e-05 / -6.04856e-05 | 0.000665056 / -0.000665004 | 5.13477e-05 / -5.14019e-05 | 7.3646e-05 / -7.3626e-05 | 0.00352613 / -0.00352611 | 0.00169411 / -0.00169414 | 0.00417006 / -0.00417012 | 0.00214436 / -0.00214435 |
 | light-tag Eigenvar. 11 | -0.000128711 / 0.000128706 | -6.53819e-05 / 6.53647e-05 | -9.07308e-05 / 9.074e-05 | -0.00260511 / 0.00260516 | -7.31923e-06 / 7.33099e-06 | 0.000741623 / -0.000741603 | -0.00207003 / 0.00207004 | -0.00279751 / 0.00279755 | -0.0062992 / 0.0062992 | -0.00273043 / 0.00273043 |
 | light-tag Eigenvar. 12 | -0.000188286 / 0.00018828 | -0.000189404 / 0.000189387 | -0.000249884 / 0.000249893 | 0.000202944 / -0.000202893 | -0.000173883 / 0.000173895 | 0.00134806 / -0.00134814 | -0.000819995 / 0.000819948 | 0.000137791 / -0.000137818 | 0.00178846 / -0.00178846 | -0.000279071 / 0.00027908 |
 | light-tag Eigenvar. 13 | 0.000303711 / -0.000303716 | 0.000307433 / -0.00030745 | 0.000487951 / -0.000488003 | -0.000536787 / 0.000536765 | 0.000299544 / -0.000299532 | 1.74575e-05 / -1.74375e-05 | -0.00237782 / 0.00237783 | -0.0014757 / 0.00147574 | -0.000555925 / 0.000555929 | -0.00109348 / 0.00109349 |
 | light-tag Eigenvar. 14 | -0.000329387 / 0.000329382 | -0.000490922 / 0.000490905 | -0.00056136 / 0.000561369 | -0.000780495 / 0.000780474 | -0.000242713 / 0.000242725 | -0.000704363 / 0.000704383 | 1.63689e-05 / -1.63535e-05 | -0.000162521 / 0.000162561 | -0.000125747 / 0.000125751 | -0.000196686 / 0.000196695 |
 | light-tag Eigenvar. 15 | -4.18729e-05 / 4.18675e-05 | -0.000125899 / 0.000125882 | -5.70099e-05 / 5.69582e-05 | -0.000333685 / 0.000333663 | 0.000168418 / -0.000168406 | -0.000723874 / 0.000723894 | -0.000146177 / 0.000146193 | -0.000320777 / 0.000320817 | 0.000157124 / -0.000157185 | -0.000285965 / 0.000285974 |
 | light-tag Eigenvar. 16 | 3.45203e-05 / -3.45257e-05 | 4.66866e-05 / -4.67038e-05 | 4.9153e-05 / -4.91437e-05 | 0.000155277 / -0.000155225 | 0.000357287 / -0.000357275 | 0.000446235 / -0.000446215 | -7.57803e-05 / 7.57957e-05 | 0.000194092 / -0.000194118 | -0.000154426 / 0.00015443 | 1.23449e-05 / -1.23361e-05 |
 | light-tag Eigenvar. 17 | 0.000377449 / -0.000377454 | 0.000442555 / -0.000442572 | 0.0005371 / -0.00053709 | 0.00068043 / -0.000680452 | 0.00049488 / -0.000494868 | 0.000611986 / -0.000611966 | 0.000462133 / -0.00046218 | 0.000488312 / -0.000488271 | 0.000350111 / -0.000350107 | 0.000386698 / -0.000386689 |
 | light-tag Eigenvar. 18 | 1.41605e-05 / -1.4166e-05 | 5.13828e-05 / -5.14e-05 | 6.50683e-05 / -6.5059e-05 | 6.38402e-05 / -6.3862e-05 | 4.32966e-05 / -4.33509e-05 | -2.89791e-06 / 2.91793e-06 | 5.44823e-05 / -5.44669e-05 | 9.00602e-05 / -9.00868e-05 | 4.6773e-05 / -4.6769e-05 | 5.68122e-05 / -5.68034e-05 |
 | light-tag Eigenvar. 19 | 0.000104009 / -0.000104014 | 9.67439e-05 / -9.67611e-05 | 0.000120192 / -0.000120183 | 6.11185e-05 / -6.10667e-05 | 8.88971e-05 / -8.88854e-05 | 0.000187711 / -0.000187691 | 0.000100557 / -0.000100542 | 0.000113692 / -0.000113651 | 6.35182e-05 / -6.35784e-05 | 0.000127202 / -0.000127193 |
 | light-tag Eigenvar. 20 | -9.75523e-05 / 9.75468e-05 | -0.000103165 / 0.000103148 | -0.000133598 / 0.000133547 | -0.000137865 / 0.000137843 | -0.000103404 / 0.000103415 | -7.70029e-05 / 7.70229e-05 | -0.000130443 / 0.000130396 | -0.00019365 / 0.000193623 | -8.25691e-05 / 8.2573e-05 | -0.000134914 / 0.000134923 |
