 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | light-tag Eigenvar. 19 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 20 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | b-tag Eigenvar. 2 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 3 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 4 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 5 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 6 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 7 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 8 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 9 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 10 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 11 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 12 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 13 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 14 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
